vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,EPIC MYSTERIUM-X 5K S35,4K HD,1.7778,18.91,0.005401,3840,2160,20.74,11.66,35.00
RED,EPIC MYSTERIUM-X 5K S35,4K 2:1,2.0000,17.96,0.005400,4096,2048,22.12,11.06,35.00
RED,EPIC MYSTERIUM-X 5K S35,4K WS,2.4009,14.99,0.005400,4096,1706,22.12,9.21,35.00
RED,EPIC MYSTERIUM-X 5K S35,3K,1.8963,14.25,0.005400,3072,1620,16.59,8.75,35.00
RED,EPIC MYSTERIUM-X 5K S35,3K HD,1.7778,14.25,0.005399,2880,1620,15.55,8.75,35.00
RED,EPIC MYSTERIUM-X 5K S35,3K 2:1,2.0000,13.51,0.005400,3072,1536,16.59,8.29,35.00
RED,EPIC MYSTERIUM-X 5K S35,3K WS,2.4000,11.28,0.005400,3072,1280,16.59,6.91,35.00
RED,EPIC MYSTERIUM-X 5K S35,2K,1.8963,9.52,0.005400,2048,1080,11.06,5.83,35.00
RED,EPIC MYSTERIUM-X 5K S35,2K HD,1.7778,9.52,0.005401,1920,1080,10.37,5.83,35.00
RED,EPIC MYSTERIUM-X 5K S35,2K 2:1,2.0000,9.05,0.005400,2048,1024,11.06,5.54,35.00
RED,EPIC MYSTERIUM-X 5K S35,2K WS,2.3981,7.54,0.005400,2048,854,11.06,4.61,35.00
RED,EPIC MYSTERIUM-X 5K S35,1K HD,1.7778,6.35,0.005398,1280,720,6.91,3.88,35.00
RED,EPIC MYSTERIUM-X 5K S35,1K WS,2.6667,4.24,0.005398,1280,480,6.91,2.59,35.00
RED,EPIC-W 5K,5K 1.7:1,1.7067,28.84,0.006000,5120,3000,30.72,18.00,35.00
RED,EPIC-W 5K,5K FF,1.8963,26.06,0.006000,5120,2700,30.72,16.20,35.00
RED,EPIC-W 5K,5K 2:1,2.0000,24.75,0.006000,5120,2560,30.72,15.36,35.00
RED,EPIC-W 5K,5K WS,2.3704,20.98,0.006000,5120,2160,30.72,12.96,35.00
RED,EPIC-W 5K,5K HD,1.7778,26.06,0.006000,4800,2700,28.80,16.20,35.00
RED,EPIC-W 5K,4.5K FF,1.9104,23.36,0.006000,4608,2412,27.65,14.47,35.00
RED,EPIC-W 5K,4.5K 2:1,2.0000,22.34,0.006000,4608,2304,27.65,13.82,35.00
RED,EPIC-W 5K,4.5K WS,2.3704,18.91,0.006000,4608,1944,27.65,11.66,35.00
RED,EPIC-W 5K,4.5K HD,1.8182,23.03,0.006000,4320,2376,25.92,14.26,35.00
RED,EPIC-W 5K,4K FF,1.8963,20.98,0.006001,4096,2160,24.58,12.96,35.00
RED,EPIC-W 5K,4K 2:1,2.0000,19.92,0.006001,4096,2048,24.58,12.29,35.00
RED,EPIC-W 5K,4K WS,2.3704,16.85,0.006001,4096,1728,24.58,10.37,35.00
RED,EPIC-W 5K,4K HD,1.7778,20.98,0.006000,3840,2160,23.04,12.96,35.00
RED,EPIC-W 5K,3.5K FF,1.9104,18.28,0.005999,3584,1876,21.50,11.26,35.00
RED,EPIC-W 5K,3.5K 2:1,2.0000,17.46,0.005999,3584,1792,21.50,10.75,35.00
RED,EPIC-W 5K,3.5K WS,2.3704,14.77,0.005999,3584,1512,21.50,9.07,35.00
RED,EPIC-W 5K,3.5K HD,1.7778,18.91,0.006001,3456,1944,20.74,11.66,35.00
RED,EPIC-W 5K,3K FF,1.8963,15.81,0.005999,3072,1620,18.43,9.72,35.00
RED,EPIC-W 5K,3K 2:1,2.0000,15.01,0.005999,3072,1536,18.43,9.22,35.00
RED,EPIC-W 5K,3K WS,2.3704,12.68,0.005999,3072,1296,18.43,7.78,35.00
RED,EPIC-W 5K,3K HD,1.7778,15.81,0.006000,2880,1620,17.28,9.72,35.00
RED,EPIC-W 5K,2.5K FF,1.9104,13.10,0.006000,2560,1340,15.36,8.04,35.00
RED,EPIC-W 5K,2.5K 2:1,2.0000,12.52,0.006000,2560,1280,15.36,7.68,35.00
RED,EPIC-W 5K,2.5K WS,2.3704,10.58,0.006000,2560,1080,15.36,6.48,35.00
RED,EPIC-W 5K,2.5K HD,1.7778,12.68,0.005998,2304,1296,13.82,7.78,35.00
RED,EPIC-W 5K,2K FF,1.8963,10.58,0.006001,2048,1080,12.29,6.48,35.00
RED,EPIC-W 5K,2K 2:1,2.0000,10.03,0.006001,2048,1024,12.29,6.14,35.00
RED,EPIC-W 5K,2K WS,2.3704,8.46,0.006001,2048,864,12.29,5.18,35.00
RED,EPIC-W 5K,2K HD,1.7778,10.58,0.006000,1920,1080,11.52,6.48,35.00
RED,EPIC-W 8K,8K FF,1.8963,25.39,0.003650,8192,4320,29.90,15.77,35.00
RED,EPIC-W 8K,8K 2:1,2.0000,24.11,0.003650,8192,4096,29.90,14.95,35.00
RED,EPIC-W 8K,8K WS,2.3704,20.42,0.003650,8192,3456,29.90,12.61,35.00
RED,EPIC-W 8K,8K HD,1.7778,25.39,0.003650,7680,4320,28.03,15.77,35.00
