vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,SCARLET-W 5K,4.5K FF,1.8947,19.71,0.005000,4608,2432,23.04,12.16,35.00
RED,SCARLET-W 5K,4.5K 2:1,2.0000,18.69,0.005000,4608,2304,23.04,11.52,35.00
RED,SCARLET-W 5K,4.5K WS,2.3704,15.81,0.005000,4608,1944,23.04,9.72,35.00
RED,SCARLET-W 5K,4.5K HD,1.7763,19.71,0.005000,4320,2432,21.60,12.16,35.00
RED,SCARLET-W 5K,4K FF,1.8963,17.53,0.004998,4096,2160,20.47,10.79,35.00
RED,SCARLET-W 5K,4K 2:1,2.0000,16.63,0.004998,4096,2048,20.47,10.23,35.00
RED,SCARLET-W 5K,4K WS,2.3704,14.06,0.004998,4096,1728,20.47,8.63,35.00
RED,SCARLET-W 5K,4K HD,1.7778,17.53,0.004997,3840,2160,19.19,10.79,35.00
RED,SCARLET-W 5K,3.5K FF,1.9104,15.26,0.005000,3584,1876,17.92,9.38,35.00
RED,SCARLET-W 5K,3.5K 2:1,2.0000,14.59,0.005000,3584,1792,17.92,8.96,35.00
RED,SCARLET-W 5K,3.5K WS,2.3704,12.33,0.005000,3584,1512,17.92,7.56,35.00
RED,SCARLET-W 5K,3.5K HD,1.7910,15.26,0.005000,3360,1876,16.80,9.38,35.00
RED,SCARLET-W 5K,3K FF,1.8963,13.20,0.005000,3072,1620,15.36,8.10,35.00
RED,SCARLET-W 5K,3K 2:1,2.0000,12.52,0.005000,3072,1536,15.36,7.68,35.00
RED,SCARLET-W 5K,3K WS,2.3704,10.58,0.005000,3072,1296,15.36,6.48,35.00
RED,SCARLET-W 5K,3K HD,1.7778,13.20,0.005000,2880,1620,14.40,8.10,35.00
RED,SCARLET-W 5K,2.5K FF,1.9104,10.93,0.005000,2560,1340,12.80,6.70,35.00
RED,SCARLET-W 5K,2.5K 2:1,2.0000,10.45,0.005000,2560,1280,12.80,6.40,35.00
RED,SCARLET-W 5K,2.5K WS,2.3704,8.82,0.005000,2560,1080,12.80,5.40,35.00
RED,SCARLET-W 5K,2.5K HD,1.7910,10.93,0.005000,2400,1340,12.00,6.70,35.00
RED,SCARLET-W 5K,2K FF,1.8963,8.82,0.005000,2048,1080,10.24,5.40,35.00
RED,SCARLET-W 5K,2K 2:1,2.0000,8.37,0.005000,2048,1024,10.24,5.12,35.00
RED,SCARLET-W 5K,2K WS,2.3704,7.06,0.005000,2048,864,10.24,4.32,35.00
RED,SCARLET-W 5K,2K HD,1.7778,8.82,0.005000,1920,1080,9.60,5.40,35.00
RED,SCARLET-W 6K,6K FF,1.9443,25.44,0.005000,6144,3160,30.72,15.80,35.00
RED,SCARLET-W 6K,5K FF,1.8963,21.82,0.004996,5120,2700,25.58,13.49,35.00
RED,SCARLET-W 6K,5K 2:1,2.0000,20.71,0.004996,5120,2560,25.58,12.79,35.00
RED,SCARLET-W 6K,5K WS,2.3704,17.53,0.004996,5120,2160,25.58,10.79,35.00
RED,SCARLET-W 6K,5K HD,1.7778,21.82,0.004996,4800,2700,23.98,13.49,35.00
RED,SCARLET-W 6K,4K FF,1.8963,17.53,0.004998,4096,2160,20.47,10.79,35.00
RED,SCARLET-W 6K,4K 2:1,2.0000,16.63,0.004998,4096,2048,20.47,10.23,35.00
RED,SCARLET-W 6K,4K WS,2.3704,14.06,0.004998,4096,1728,20.47,8.63,35.00
RED,SCARLET-W 6K,4K HD,1.7778,17.53,0.004997,3840,2160,19.19,10.79,35.00
RED,SCARLET-W 6K,3K FF,1.8963,13.20,0.005000,3072,1620,15.36,8.10,35.00
RED,SCARLET-W 6K,3K 2:1,2.0000,12.52,0.005000,3072,1536,15.36,7.68,35.00
RED,SCARLET-W 6K,3K WS,2.3704,10.58,0.005000,3072,1296,15.36,6.48,35.00
RED,SCARLET-W 6K,3K HD,1.7778,13.20,0.005000,2880,1620,14.40,8.10,35.00
RED,SCARLET-W 6K,2K FF,1.8963,8.82,0.005000,2048,1080,10.24,5.40,35.00
RED,SCARLET-W 6K,2K 2:1,2.0000,8.37,0.005000,2048,1024,10.24,5.12,35.00
RED,SCARLET-W 6K,2K WS,2.3704,7.06,0.005000,2048,864,10.24,4.32,35.00
RED,SCARLET-W 6K,2K HD,1.7778,8.82,0.005000,1920,1080,9.60,5.40,35.00
RED,WEAPON DRAGON 6K S35,6K FF,1.9443,25.44,0.004997,6144,3160,30.70,15.80,35.00
RED,WEAPON DRAGON 6K S35,6K 2:1,2.0000,24.74,0.004997,6144,3072,30.70,15.35,35.00
RED,WEAPON DRAGON 6K S35,6K WS,2.3704,20.96,0.004997,6144,2592,30.70,12.95,35.00
RED,WEAPON DRAGON 6K S35,6K HD,1.7778,25.20,0.004996,5568,3132,27.82,15.65,35.00
RED,WEAPON DRAGON 6K S35,5.5K FF,1.8919,23.86,0.004996,5600,2960,27.98,14.79,35.00
RED,WEAPON DRAGON 6K S35,5.5K 2:1,2.0000,22.60,0.004996,5600,2800,27.98,13.99,35.00
RED,WEAPON DRAGON 6K S35,5.5K WS,2.3729,19.12,0.004996,5600,2360,27.98,11.79,35.00
RED,WEAPON DRAGON 6K S35,5.5K HD,1.7838,23.86,0.004996,5280,2960,26.38,14.79,35.00
RED,WEAPON DRAGON 6K S35,5K FF,1.8963,21.82,0.004996,5120,2700,25.58,13.49,35.00
RED,WEAPON DRAGON 6K S35,5K 2:1,2.0000,20.71,0.004996,5120,2560,25.58,12.79,35.00
RED,WEAPON DRAGON 6K S35,5K WS,2.3704,17.53,0.004996,5120,2160,25.58,10.79,35.00
RED,WEAPON DRAGON 6K S35,5K HD,1.7778,21.82,0.004996,4800,2700,23.98,13.49,35.00
RED,WEAPON DRAGON 6K S35,4.5K FF,1.8947,19.71,0.005000,4608,2432,23.04,12.16,35.00
RED,WEAPON DRAGON 6K S35,4.5K 2:1,2.0000,18.69,0.005000,4608,2304,23.04,11.52,35.00
RED,WEAPON DRAGON 6K S35,4.5K WS,2.3704,15.81,0.005000,4608,1944,23.04,9.72,35.00
RED,WEAPON DRAGON 6K S35,4.5K HD,1.7763,19.71,0.005000,4320,2432,21.60,12.16,35.00
RED,WEAPON DRAGON 6K S35,4K FF,1.8963,17.53,0.004998,4096,2160,20.47,10.79,35.00
RED,WEAPON DRAGON 6K S35,4K 2:1,2.0000,16.63,0.004998,4096,2048,20.47,10.23,35.00
RED,WEAPON DRAGON 6K S35,4K WS,2.3704,14.06,0.004998,4096,1728,20.47,8.63,35.00
RED,WEAPON DRAGON 6K S35,4K HD,1.7778,17.53,0.004997,3840,2160,19.19,10.79,35.00
RED,WEAPON DRAGON 6K S35,3K,1.8963,14.25,0.005400,3072,1620,16.59,8.75,35.00
RED,WEAPON DRAGON 6K S35,3K HD,1.7778,14.25,0.005399,2880,1620,15.55,8.75,35.00
RED,WEAPON DRAGON 6K S35,3K 2:1,2.0000,13.51,0.005400,3072,1536,16.59,8.29,35.00
RED,WEAPON DRAGON 6K S35,3K WS,2.4000,11.28,0.005400,3072,1280,16.59,6.91,35.00
RED,WEAPON DRAGON 6K S35,2K,1.8963,9.52,0.005400,2048,1080,11.06,5.83,35.00
RED,WEAPON DRAGON 6K S35,2K HD,1.7778,9.52,0.005401,1920,1080,10.37,5.83,35.00
RED,WEAPON DRAGON 6K S35,2K 2:1,2.0000,9.05,0.005400,2048,1024,11.06,5.54,35.00
RED,WEAPON DRAGON 6K S35,2K WS,2.3981,7.54,0.005400,2048,854,11.06,4.61,35.00
RED,WEAPON DRAGON 6K S35,1K HD,1.7778,6.35,0.005398,1280,720,6.91,3.88,35.00
RED,WEAPON DRAGON 6K S35,1K WS,2.6667,4.24,0.005398,1280,480,6.91,2.59,35.00
RED,WEAPON HELIUM 8K S35,8K FF,1.8963,25.39,0.003650,8192,4320,29.90,15.77,35.00
RED,WEAPON HELIUM 8K S35,8K 2:1,2.0000,24.11,0.003650,8192,4096,29.90,14.95,35.00
RED,WEAPON HELIUM 8K S35,8K WS,2.3704,20.42,0.003650,8192,3456,29.90,12.61,35.00
RED,WEAPON HELIUM 8K S35,8K HD,1.7778,25.39,0.003650,7680,4320,28.03,15.77,35.00
RED,WEAPON HELIUM 8K S35,7.5K FF,1.8824,24.02,0.003650,7680,4080,28.03,14.89,35.00
RED,WEAPON HELIUM 8K S35,7.5K 2:1,2.0000,22.65,0.003650,7680,3840,28.03,14.02,35.00
RED,WEAPON HELIUM 8K S35,7.5K WS,2.3704,19.18,0.003650,7680,3240,28.03,11.83,35.00
RED,WEAPON HELIUM 8K S35,7.5K HD,1.7778,24.16,0.003650,7296,4104,26.63,14.98,35.00
RED,WEAPON HELIUM 8K S35,7K FF,1.8963,22.30,0.003650,7168,3780,26.16,13.80,35.00
RED,WEAPON HELIUM 8K S35,7K 2:1,2.0000,21.17,0.003650,7168,3584,26.16,13.08,35.00
RED,WEAPON HELIUM 8K S35,7K WS,2.3704,17.93,0.003650,7168,3024,26.16,11.04,35.00
RED,WEAPON HELIUM 8K S35,7K HD,1.7778,22.30,0.003650,6720,3780,24.53,13.80,35.00
RED,WEAPON HELIUM 8K S35,6.5K FF,1.8824,20.90,0.003649,6656,3536,24.29,12.91,35.00
RED,WEAPON HELIUM 8K S35,6.5K 2:1,2.0000,19.69,0.003649,6656,3328,24.29,12.15,35.00
RED,WEAPON HELIUM 8K S35,6.5K WS,2.3704,16.66,0.003649,6656,2808,24.29,10.25,35.00
RED,WEAPON HELIUM 8K S35,6.5K HD,1.7778,20.42,0.003651,6144,3456,22.43,12.61,35.00
RED,WEAPON HELIUM 8K S35,6K FF,1.8963,19.18,0.003651,6144,3240,22.43,11.83,35.00
RED,WEAPON HELIUM 8K S35,6K 2:1,2.0000,18.20,0.003651,6144,3072,22.43,11.21,35.00
RED,WEAPON HELIUM 8K S35,6K WS,2.3704,15.39,0.003651,6144,2592,22.43,9.46,35.00
RED,WEAPON HELIUM 8K S35,6K HD,1.7778,19.18,0.003649,5760,3240,21.02,11.83,35.00
RED,WEAPON HELIUM 8K S35,5.5K FF,1.8919,17.56,0.003650,5600,2960,20.44,10.81,35.00
RED,WEAPON HELIUM 8K S35,5.5K 2:1,2.0000,16.61,0.003650,5600,2800,20.44,10.22,35.00
RED,WEAPON HELIUM 8K S35,5.5K WS,2.3729,14.04,0.003650,5600,2360,20.44,8.62,35.00
RED,WEAPON HELIUM 8K S35,5.5K HD,1.7838,17.56,0.003650,5280,2960,19.27,10.81,35.00
RED,WEAPON HELIUM 8K S35,5K FF,1.8963,16.04,0.003650,5120,2700,18.69,9.86,35.00
RED,WEAPON HELIUM 8K S35,5K 2:1,2.0000,15.22,0.003650,5120,2560,18.69,9.35,35.00
RED,WEAPON HELIUM 8K S35,5K WS,2.3704,12.86,0.003650,5120,2160,18.69,7.89,35.00
RED,WEAPON HELIUM 8K S35,5K HD,1.7778,16.04,0.003650,4800,2700,17.52,9.86,35.00
RED,WEAPON HELIUM 8K S35,4K FF,1.8963,12.86,0.003650,4096,2160,14.95,7.89,35.00
RED,WEAPON HELIUM 8K S35,4K 2:1,2.0000,12.20,0.003650,4096,2048,14.95,7.48,35.00
RED,WEAPON HELIUM 8K S35,4K WS,2.3704,10.30,0.003650,4096,1728,14.95,6.31,35.00
RED,WEAPON HELIUM 8K S35,4K HD,1.7778,12.86,0.003648,3840,2160,14.01,7.89,35.00
RED,WEAPON HELIUM 8K S35,3K,1.8963,9.65,0.003649,3072,1620,11.21,5.91,35.00
RED,WEAPON HELIUM 8K S35,3K HD,1.7778,9.65,0.003649,2880,1620,10.51,5.91,35.00
RED,WEAPON HELIUM 8K S35,3K 2:1,2.0000,9.16,0.003649,3072,1536,11.21,5.61,35.00
RED,WEAPON HELIUM 8K S35,3K WS,2.4000,7.63,0.003649,3072,1280,11.21,4.67,35.00
RED,WEAPON HELIUM 8K S35,2K,1.8963,6.44,0.003652,2048,1080,7.48,3.94,35.00
RED,WEAPON HELIUM 8K S35,2K HD,1.7778,6.44,0.003651,1920,1080,7.01,3.94,35.00
RED,WEAPON HELIUM 8K S35,2K 2:1,2.0000,6.13,0.003652,2048,1024,7.48,3.75,35.00
RED,WEAPON HELIUM 8K S35,2K WS,2.3981,5.10,0.003652,2048,854,7.48,3.12,35.00
RED,WEAPON HELIUM 8K S35,1K HD,1.7778,4.30,0.003648,1280,720,4.67,2.63,35.00
RED,WEAPON HELIUM 8K S35,1K WS,2.6667,2.86,0.003648,1280,480,4.67,1.75,35.00
RED,WEAPON MONSTRO 8K W,8K FF,1.8963,34.30,0.005000,8192,4320,40.96,21.60,35.00
RED,WEAPON MONSTRO 8K W,8K 2:1,2.0000,32.62,0.005000,8192,4096,40.96,20.48,35.00
RED,WEAPON MONSTRO 8K W,8K WS,2.3704,27.73,0.005000,8192,3456,40.96,17.28,35.00
RED,WEAPON MONSTRO 8K W,8K HD,1.7778,34.30,0.005000,7680,4320,38.40,21.60,35.00
RED,WEAPON MONSTRO 8K W,7.5K FF,1.8824,32.50,0.005000,7680,4080,38.40,20.40,35.00
RED,WEAPON MONSTRO 8K W,7.5K 2:1,2.0000,30.68,0.005000,7680,3840,38.40,19.20,35.00
RED,WEAPON MONSTRO 8K W,7.5K WS,2.3704,26.06,0.005000,7680,3240,38.40,16.20,35.00
RED,WEAPON MONSTRO 8K W,7.5K HD,1.7778,32.68,0.005000,7296,4104,36.48,20.52,35.00
RED,WEAPON MONSTRO 8K W,7K FF,1.8963,30.22,0.005000,7168,3780,35.84,18.90,35.00
RED,WEAPON MONSTRO 8K W,7K 2:1,2.0000,28.72,0.005000,7168,3584,35.84,17.92,35.00
RED,WEAPON MONSTRO 8K W,7K WS,2.3704,24.38,0.005000,7168,3024,35.84,15.12,35.00
RED,WEAPON MONSTRO 8K W,7K HD,1.7778,30.22,0.005000,6720,3780,33.60,18.90,35.00
RED,WEAPON MONSTRO 8K W,6.5K FF,1.8824,28.35,0.005000,6656,3536,33.28,17.68,35.00
RED,WEAPON MONSTRO 8K W,6.5K 2:1,2.0000,26.74,0.005000,6656,3328,33.28,16.64,35.00
RED,WEAPON MONSTRO 8K W,6.5K WS,2.3704,22.68,0.005000,6656,2808,33.28,14.04,35.00
RED,WEAPON MONSTRO 8K W,6.5K HD,1.7778,27.73,0.005000,6144,3456,30.72,17.28,35.00
RED,WEAPON MONSTRO 8K W,6K FF,1.8963,26.06,0.005000,6144,3240,30.72,16.20,35.00
RED,WEAPON MONSTRO 8K W,6K 2:1,2.0000,24.75,0.005000,6144,3072,30.72,15.36,35.00
RED,WEAPON MONSTRO 8K W,6K WS,2.3704,20.98,0.005000,6144,2592,30.72,12.96,35.00
RED,WEAPON MONSTRO 8K W,6K HD,1.7778,26.06,0.005000,5760,3240,28.80,16.20,35.00
RED,WEAPON MONSTRO 8K W,5.5K FF,1.9104,23.78,0.005000,5632,2948,28.16,14.74,35.00
RED,WEAPON MONSTRO 8K W,5.5K 2:1,2.0000,22.75,0.005000,5632,2816,28.16,14.08,35.00
RED,WEAPON MONSTRO 8K W,5.5K WS,2.3704,19.26,0.005000,5632,2376,28.16,11.88,35.00
RED,WEAPON MONSTRO 8K W,5.5K HD,1.7778,24.38,0.005000,5376,3024,26.88,15.12,35.00
RED,WEAPON MONSTRO 8K W,5K FF,1.8963,21.82,0.004996,5120,2700,25.58,13.49,35.00
RED,WEAPON MONSTRO 8K W,5K 2:1,2.0000,20.71,0.004996,5120,2560,25.58,12.79,35.00
RED,WEAPON MONSTRO 8K W,5K WS,2.3704,17.53,0.004996,5120,2160,25.58,10.79,35.00
RED,WEAPON MONSTRO 8K W,5K HD,1.7778,21.82,0.004996,4800,2700,23.98,13.49,35.00
RED,WEAPON MONSTRO 8K W,4K FF,1.8963,17.53,0.004998,4096,2160,20.47,10.79,35.00
RED,WEAPON MONSTRO 8K W,4K 2:1,2.0000,16.63,0.004998,4096,2048,20.47,10.23,35.00
RED,WEAPON MONSTRO 8K W,4K WS,2.3704,14.06,0.004998,4096,1728,20.47,8.63,35.00
RED,WEAPON MONSTRO 8K W,4K HD,1.7778,17.53,0.004997,3840,2160,19.19,10.79,35.00
RED,WEAPON MONSTRO 8K W,3K,1.8963,14.25,0.005400,3072,1620,16.59,8.75,35.00
RED,WEAPON MONSTRO 8K W,3K HD,1.7778,14.25,0.005399,2880,1620,15.55,8.75,35.00
RED,WEAPON MONSTRO 8K W,3K 2:1,2.0000,13.51,0.005400,3072,1536,16.59,8.29,35.00
RED,WEAPON MONSTRO 8K W,3K WS,2.4000,11.28,0.005400,3072,1280,16.59,6.91,35.00
RED,WEAPON MONSTRO 8K W,2K,1.8963,9.52,0.005400,2048,1080,11.06,5.83,35.00
RED,WEAPON MONSTRO 8K W,2K HD,1.7778,9.52,0.005401,1920,1080,10.37,5.83,35.00
RED,WEAPON MONSTRO 8K W,2K 2:1,2.0000,9.05,0.005400,2048,1024,11.06,5.54,35.00
RED,WEAPON MONSTRO 8K W,2K WS,2.3981,7.54,0.005400,2048,854,11.06,4.61,35.00
RED,WEAPON MONSTRO 8K W,1K HD,1.7778,6.35,0.005398,1280,720,6.91,3.88,35.00
RED,WEAPON MONSTRO 8K W,1K WS,2.6667,4.24,0.005398,1280,480,6.91,2.59,35.00
Sony,A7 IV,All,1.5000,37.56,0.005080,7008,4672,35.60,23.80,35.00
Sony,VENICE,6K Full Frame Mode 6K 1.85:1,1.8502,30.98,0.005946,6054,3272,36.00,19.40,35.00
Sony,VENICE,6K Full Frame Mode 6K 17:9,1.8966,30.37,0.005946,6054,3192,36.00,19.00,35.00
Sony,VENICE,6K Full Frame Mode 6K 3:2,1.5000,37.85,0.005936,6048,4032,35.90,24.00,35.00
Sony,VENICE,6K Full Frame Mode 6K 2.39:1,2.3867,24.19,0.005936,6048,2534,35.90,15.00,35.00
Sony,VENICE,6K Full Frame Mode 5.7K 16:9,1.7774,30.22,0.005944,5670,3190,33.70,18.90,35.00
Sony,VENICE,4K Anamorphic Mode 4K 6:5,1.1935,32.50,0.005933,4096,3432,24.30,20.40,35.00
Sony,VENICE,4K Anamorphic Mode 4K 4:3,1.3545,28.84,0.005933,4096,3024,24.30,18.00,35.00
Sony,VENICE,4K Super35 Mode 4K 17:9,1.8963,20.72,0.005933,4096,2160,24.30,12.80,35.00
Sony,VENICE,4K Super35 Mode 3.8K 16:9,1.7778,20.72,0.005938,3840,2160,22.80,12.80,35.00
Sony,ZV-E1,All,1.4972,37.56,0.008396,4240,2832,35.60,23.80,35.00
Vision Research,Phantom Flex4K,4K (35mm) native 16:9,1.7778,24.97,0.006738,4096,2304,27.60,15.50,35.00
Vision Research,Phantom Flex4K,4K (35mm) overscan 16:9,1.7778,23.45,0.006738,3840,2160,25.88,14.53,35.00
Vision Research,Phantom Flex4K,4K (35mm) anamorphic 2.0,1.1944,24.97,0.006738,2752,2304,18.54,15.50,35.00
Vision Research,Phantom Flex4K,4K (35mm) scaled 16:9,1.7778,11.85,0.006739,1920,1080,12.94,7.27,35.00
Vision Research,Phantom Flex4K,4K (35mm) native DCI,1.8963,23.45,0.006738,4096,2160,27.60,14.53,35.00
Vision Research,Phantom Flex4K,4K (35mm) native 1.85:1,1.8484,24.05,0.006738,4096,2216,27.60,14.91,35.00
Vision Research,Phantom Flex4K,4K (35mm) native 2.39:1,2.3925,18.69,0.006738,4096,1712,27.60,11.52,35.00
Vision Research,Phantom Flex4K,4K (35mm) cropped 16:9,1.7778,23.45,0.006738,3840,2160,25.88,14.53,35.00
Vision Research,Phantom Flex4K,2K (windowed) native 4:3,1.3333,16.85,0.006738,2048,1536,13.80,10.37,35.00
Vision Research,Phantom Flex4K,2K (windowed) native 16:9,1.7778,12.68,0.006738,2048,1152,13.80,7.78,35.00
Vision Research,Phantom Flex4K,2K (windowed) overscan 16:9,1.7778,11.89,0.006739,1920,1080,12.94,7.29,35.00
Vision Research,Phantom Flex4K,2K (windowed) native DCI,1.8963,11.89,0.006738,2048,1080,13.80,7.29,35.00
Vision Research,Phantom Flex4K,2K (windowed) crop 16:9,1.7778,7.94,0.006738,1280,720,8.62,4.86,35.00
Vision Research,Phantom Flex4K,2K (windowed) scaled 16:9,1.7778,7.94,0.006738,1280,720,8.62,4.86,35.00
